LR,KNN,RF,GB,AB
0.7573333333333333,0.852,0.9186666666666666,0.8013333333333333,0.7373333333333333
0.7733333333333333,0.8653333333333333,0.9333333333333333,0.8146666666666667,0.7493333333333333
0.7586666666666667,0.868,0.9253333333333333,0.8026666666666666,0.7293333333333333
0.792,0.8666666666666667,0.9333333333333333,0.852,0.7586666666666667
0.7770360480640854,0.8624833110814419,0.9092122830440588,0.8264352469959947,0.7556742323097463
0.8317757009345794,0.9506008010680908,0.965287049399199,0.9185580774365821,0.8865153538050734
0.822429906542056,0.9839786381842457,0.9853137516688919,0.9279038718291055,0.9225634178905207
0.8477970627503337,0.9706275033377837,0.9706275033377837,0.9092122830440588,0.9198931909212283
0.8197596795727636,0.9826435246995995,0.9773030707610146,0.9252336448598131,0.8704939919893191
0.8277703604806409,0.9719626168224299,0.9719626168224299,0.9225634178905207,0.8731642189586115
