LR,KNN,RF,GB,AB
0.10204081632653061,0.16,0.23880597014925373,0.09271523178807947,0.08695652173913043
0.14594594594594595,0.27205882352941174,0.43037974683544306,0.18354430379746836,0.14354066985645933
0.1306532663316583,0.24806201550387597,0.3472222222222222,0.1346153846153846,0.11059907834101383
0.14619883040935672,0.24,0.4,0.203125,0.11979166666666667
0.12222222222222222,0.21428571428571427,0.2823529411764706,0.13333333333333333,0.11224489795918367
0.9389312977099237,0.956738768718802,0.972972972972973,0.9487179487179487,0.9296740994854202
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
