LR,KNN,RF,GB,AB
0.7692307692307693,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.6923076923076923
0.6923076923076923,0.9487179487179487,0.8717948717948718,0.7435897435897436,0.7692307692307693
0.7647058823529411,0.9411764705882353,0.7352941176470589,0.6176470588235294,0.7058823529411765
0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7428571428571429,0.6571428571428571
0.7096774193548387,0.8709677419354839,0.7741935483870968,0.5806451612903226,0.7096774193548387
0.8395904436860068,0.9812286689419796,0.9829351535836177,0.947098976109215,0.9249146757679181
0.822429906542056,0.9839786381842457,0.9853137516688919,0.9279038718291055,0.9225634178905207
0.8477970627503337,0.9706275033377837,0.9706275033377837,0.9092122830440588,0.9198931909212283
0.8197596795727636,0.9826435246995995,0.9773030707610146,0.9252336448598131,0.8704939919893191
0.8277703604806409,0.9719626168224299,0.9719626168224299,0.9225634178905207,0.8731642189586115
