LR,KNN,RF,GB,AB
0.8181818181818182,0.9393939393939394,0.7575757575757576,0.6363636363636364,0.6060606060606061
0.8913043478260869,1.0,0.782608695652174,0.6086956521739131,0.8478260869565217
0.851063829787234,0.9787234042553191,0.8085106382978723,0.6808510638297872,0.7659574468085106
0.8108108108108109,0.972972972972973,0.8108108108108109,0.5945945945945946,0.7027027027027027
0.8529411764705882,1.0,0.8529411764705882,0.6764705882352942,0.7058823529411765
0.8252595155709342,0.9757785467128027,0.9809688581314879,0.9152249134948097,0.8823529411764706
0.7677419354838709,0.9561290322580646,0.9561290322580646,0.8890322580645161,0.8541935483870968
0.807741935483871,0.983225806451613,0.983225806451613,0.92,0.8774193548387097
0.8051612903225807,0.9664516129032258,0.967741935483871,0.9212903225806451,0.8787096774193548
0.7935483870967742,0.9754838709677419,0.9690322580645161,0.9019354838709678,0.8748387096774194
