LR,KNN,RF,GB,AB
0.7032258064516129,0.8283870967741935,0.9290322580645162,0.8129032258064516,0.7574193548387097
0.727741935483871,0.832258064516129,0.9148387096774193,0.8270967741935484,0.7716129032258064
0.7161290322580646,0.8503225806451613,0.9316129032258065,0.7974193548387096,0.7290322580645161
0.6851612903225807,0.7961290322580645,0.9032258064516129,0.7987096774193548,0.7238709677419355
0.7419354838709677,0.8541935483870968,0.9458064516129032,0.8387096774193549,0.7780645161290323
0.8064516129032258,0.9496774193548387,0.9690322580645161,0.896774193548387,0.8606451612903225
0.7677419354838709,0.9561290322580646,0.9561290322580646,0.8890322580645161,0.8541935483870968
0.807741935483871,0.983225806451613,0.983225806451613,0.92,0.8774193548387097
0.8051612903225807,0.9664516129032258,0.967741935483871,0.9212903225806451,0.8787096774193548
0.7935483870967742,0.9754838709677419,0.9690322580645161,0.9019354838709678,0.8748387096774194
