LR,KNN,RF,GB,AB
0.10756972111553785,0.19135802469135801,0.3472222222222222,0.13636363636363635,0.10256410256410256
0.1659919028340081,0.26136363636363635,0.391304347826087,0.19444444444444445,0.18660287081339713
0.15810276679841898,0.2857142857142857,0.4634146341463415,0.1839080459770115,0.15319148936170213
0.11235955056179775,0.18652849740932642,0.30612244897959184,0.13496932515337423,0.11353711790393013
0.12946428571428573,0.23129251700680273,0.4393939393939394,0.1678832116788321,0.12903225806451613
0.9068441064638784,0.9575551782682513,0.9775862068965517,0.9446428571428571,0.9272727272727272
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
