LR,KNN,RF,GB,AB
0.19014084507042253,0.31794871794871793,0.4761904761904762,0.2245989304812834,0.17543859649122806
0.279863481228669,0.41441441441441446,0.5217391304347826,0.2947368421052632,0.3058823529411765
0.26666666666666666,0.4423076923076923,0.5891472868217055,0.2895927601809955,0.2553191489361702
0.19736842105263158,0.3130434782608696,0.4444444444444444,0.21999999999999997,0.19548872180451127
0.22480620155038764,0.3756906077348066,0.58,0.26900584795321636,0.21818181818181817
0.8641304347826086,0.9665809768637532,0.9792746113989638,0.929701230228471,0.9042553191489361
0.8686131386861314,0.9775725593667547,0.9775725593667547,0.9412568306010929,0.9213639526791928
0.8936473947180585,0.9915419648666233,0.9915419648666233,0.9583333333333334,0.9347079037800687
0.8920657612580415,0.9829396325459318,0.9836065573770492,0.9590329079919409,0.9354395604395604
0.8848920863309353,0.9875898105813193,0.9842726081258191,0.9484396200814112,0.9332415691672401
