LR,KNN,RF,GB,AB
0.6890322580645162,0.8670967741935484,0.984516129032258,0.7612903225806451,0.6941935483870968
0.7070967741935484,0.8619354838709677,0.9806451612903225,0.7587096774193548,0.7070967741935484
0.7006451612903226,0.8709677419354839,0.9896774193548387,0.7496774193548387,0.68
0.6838709677419355,0.8309677419354838,0.9741935483870968,0.7419354838709677,0.6903225806451613
0.7135483870967742,0.8761290322580645,0.9780645161290322,0.7870967741935484,0.7367741935483871
0.7716129032258064,1.0,1.0,0.9019354838709678,0.8490322580645161
0.775483870967742,1.0,1.0,0.896774193548387,0.8296774193548387
0.7574193548387097,1.0,1.0,0.8980645161290323,0.8464516129032258
0.7780645161290323,1.0,1.0,0.8812903225806452,0.8283870967741935
0.8129032258064516,1.0,1.0,0.896774193548387,0.8129032258064516
