LR,KNN,RF,GB,AB
0.6916129032258065,0.8387096774193549,0.9264516129032258,0.807741935483871,0.7316129032258064
0.7161290322580646,0.8438709677419355,0.9238709677419354,0.8270967741935484,0.752258064516129
0.7058064516129032,0.8374193548387097,0.9135483870967742,0.807741935483871,0.7329032258064516
0.6774193548387096,0.7961290322580645,0.9058064516129032,0.7845161290322581,0.7238709677419355
0.7316129032258064,0.8464516129032258,0.9458064516129032,0.8296774193548387,0.7677419354838709
0.8012903225806451,0.9612903225806452,0.9703225806451613,0.912258064516129,0.8722580645161291
0.7845161290322581,0.9716129032258064,0.9793548387096774,0.9161290322580645,0.8787096774193548
0.8103225806451613,0.9793548387096774,0.9767741935483871,0.9187096774193548,0.8941935483870967
0.7793548387096774,0.9703225806451613,0.9664516129032258,0.9148387096774193,0.8877419354838709
0.8154838709677419,0.9793548387096774,0.9780645161290322,0.9303225806451613,0.8722580645161291
