LR,KNN,RF,GB,AB
0.8484848484848485,1.0,0.8181818181818182,0.6060606060606061,0.6363636363636364
0.8695652173913043,0.9782608695652174,0.782608695652174,0.6304347826086957,0.782608695652174
0.851063829787234,0.9574468085106383,0.8297872340425532,0.723404255319149,0.7659574468085106
0.8108108108108109,0.972972972972973,0.8378378378378378,0.5675675675675675,0.7027027027027027
0.8529411764705882,1.0,0.9411764705882353,0.6764705882352942,0.7058823529411765
0.8235294117647058,0.986159169550173,0.9792387543252595,0.9359861591695502,0.8944636678200693
0.7845161290322581,0.9716129032258064,0.9793548387096774,0.9161290322580645,0.8787096774193548
0.8103225806451613,0.9793548387096774,0.9767741935483871,0.9187096774193548,0.8941935483870967
0.7793548387096774,0.9703225806451613,0.9664516129032258,0.9148387096774193,0.8877419354838709
0.8154838709677419,0.9793548387096774,0.9780645161290322,0.9303225806451613,0.8722580645161291
