LR,KNN,RF,GB,AB
0.18983050847457628,0.3455497382198953,0.4864864864864865,0.21164021164021163,0.16799999999999998
0.2666666666666666,0.4265402843601895,0.549618320610687,0.3020833333333333,0.2727272727272727
0.2597402597402597,0.41666666666666674,0.5379310344827587,0.31336405529953915,0.25806451612903225
0.1935483870967742,0.3130434782608696,0.4592592592592593,0.20095693779904306,0.19548872180451127
0.21804511278195488,0.3636363636363636,0.6037735849056604,0.25842696629213485,0.2105263157894737
0.8607594936708859,0.9743589743589743,0.9800865800865801,0.9408695652173914,0.912621359223301
0.8792480115690527,0.9856020942408377,0.9895697522816166,0.9562289562289563,0.9354395604395604
0.895224518888097,0.9895697522816166,0.9882506527415144,0.9576328177538669,0.944141689373297
0.8759970993473531,0.9849377865094958,0.9829396325459318,0.9555256064690026,0.9405331510594668
0.898365316275764,0.9895697522816166,0.9889106327462491,0.9639037433155081,0.9317711922811854
