LR,KNN,RF,GB,AB
0.10687022900763359,0.2088607594936709,0.34615384615384615,0.1282051282051282,0.0967741935483871
0.15748031496062992,0.2727272727272727,0.4235294117647059,0.19863013698630136,0.1651376146788991
0.1532567049808429,0.26627218934911245,0.3979591836734694,0.2,0.15517241379310345
0.10989010989010989,0.18652849740932642,0.3163265306122449,0.12209302325581395,0.11353711790393013
0.125,0.2222222222222222,0.4444444444444444,0.1597222222222222,0.12371134020618557
0.9015151515151515,0.9628378378378378,0.9809358752166378,0.9458041958041958,0.9315315315315316
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
